Year,Price (U.S. Dollars)
2005,19.43
2004,18.27
2003,16.84
2002,17.27
2001,16.97
2000,16.78
1999,16.99
1998,18.32
1997,19.01
1996,19.71
1995,20.44
1994,21.5
1993,22.46
1992,24.34
1991,25.45
1990,26.67
1989,27.78
1988,29.16
1987,31.52
1986,33.39
1985,36.15
1984,37.85
1983,39.84
1982,43.44
1981,44.66
1980,45.61
1979,47.93
1978,47.77
1977,46.66
1976,48.66
1975,50.92
1974,45.56
1973,26.97
1972,25.59
1971,24.73
1970,23.03
1969,19.43
1968,19.07
1967,19.63
1966,19.93
1965,20.19
1964,20.79
1963,20.87
1962,21.42
1961,22.23
1960,22.96
1959,23.85
1958,24.73
1957,26.35
1956,25.83
1955,25.02
1954,26.12
1953,28.67
1952,29.24
1951,29.86
1950,31.4
1949,32.05
